,Course,Course Prefix,Course Suffix,Department,First Begin Time,First Days,First End Time,First Instructor,First Instructor UID,First Room,Link,Max Units,Min Units,Mode,Reg Count,Seats,Second Begin Time,Second Days,Second End Time,Second Instructor,Second Instructor UID,Second Room,Section,Session,Term,Title
40,ACCT-470,ACCT,470,ACCT,16:00:00,TH,17:50:00,"Simmonds, Kendall, L",7910304105.0,ACC310,B,4.0,4.0,C,20,40,,,,,,,14121,1,20153,Advanced External Financial Reporting Issues
41,ACCT-470,ACCT,470,ACCT,14:00:00,TH,15:50:00,"Simmonds, Kendall, L",7910304105.0,ACC310,,4.0,4.0,C,33,40,,,,,,,14122,1,20153,Advanced External Financial Reporting Issues
42,ACCT-473,ACCT,473,ACCT,14:00:00,F,15:50:00,"Layton, Rose, M",7491812454.0,HOH EDI,C,0.0,0.0,D,48,269,,,,,,,14137,442,20153,Financial Statement Auditing
43,ACCT-473,ACCT,473,ACCT,14:00:00,TH,15:50:00,"Layton, Rose, M",7491812454.0,ACC303,C,2.0,2.0,C,23,40,,,,,,,14136,442,20153,Financial Statement Auditing
44,ACCT-473,ACCT,473,ACCT,12:00:00,TH,13:50:00,"Layton, Rose, M",7491812454.0,ACC201,C,2.0,2.0,C,25,40,,,,,,,14135,442,20153,Financial Statement Auditing
45,ACCT-474,ACCT,474,ACCT,10:00:00,TH,11:50:00,"Wang, Shiing-Wu",7876020314.0,ACC205,,2.0,2.0,C,33,36,,,,,,,14140,442,20153,Tax Issues for Business
46,ACCT-474,ACCT,474,ACCT,12:00:00,TH,13:50:00,"Wang, Shiing-Wu",7876020314.0,ACC205,,2.0,2.0,C,36,36,,,,,,,14141,442,20153,Tax Issues for Business
47,ACCT-490,ACCT,490,ACCT,,,,,,OFFICE,,8.0,2.0,C,1,10,,,,,,,14180,1,20153,Directed Research
48,ACCT-509,ACCT,509,ACCT,,,,"Hopkins, Merle, W",3783353564.0,ONLINE,,4.0,4.0,C,12,25,,,,,,,14187,378,20153,Concepts of Financial and Management Accounting
49,ACCT-528,ACCT,528,ACCT,12:30:00,H,13:50:00,"Ryan, Tom",7846273757.0,JKP202,,1.5,1.5,C,15,35,,,,,,,14202,1,20153,"Fair Value Accounting: GAAP, IFRS and Emerging Issues"
50,ACCT-528,ACCT,528,ACCT,12:30:00,T,13:50:00,"Ryan, Tom",7846273757.0,JKP202,,1.5,1.5,C,17,20,,,,,,,14201,1,20153,"Fair Value Accounting: GAAP, IFRS and Emerging Issues"
51,ACCT-546,ACCT,546,ACCT,11:00:00,TH,12:20:00,"Bonner, Sarah, Elizabeth",3290070342.0,JKP102,,3.0,3.0,C,22,26,,,,,,,14206,1,20153,Auditing and Assurance Services
52,ACCT-546,ACCT,546,ACCT,09:30:00,TH,10:50:00,"Bonner, Sarah, Elizabeth",3290070342.0,JKP102,,3.0,3.0,C,26,26,,,,,,,14207,1,20153,Auditing and Assurance Services
53,ACCT-547,ACCT,547,ACCT,09:30:00,MW,10:50:00,"Kiddoo, Bob",7682197116.0,JKP104,,3.0,3.0,C,37,40,,,,,,,14209,1,20153,Enterprise Information Systems
54,ACCT-549,ACCT,549,ACCT,11:00:00,MW,12:20:00,"Kiddoo, Bob",7682197116.0,JKP104,,3.0,3.0,C,48,56,,,,,,,14216,1,20153,Advanced Enterprise Systems and Technologies
55,ACCT-550T,ACCT,550T,ACCT,17:30:00,T,18:30:00,"Comi, Diane",7147248862.0,ONLINE,,3.0,3.0,C,11,38,,,,,,,14219,378,20153,Tax Research and Professional Responsibilities
56,ACCT-550T,ACCT,550T,ACCT,18:30:00,M,21:30:00,"Comi, Diane",7147248862.0,ACC205,,3.0,3.0,C,20,36,,,,,,,14230,1,20153,Tax Research and Professional Responsibilities
57,ACCT-550T,ACCT,550T,ACCT,09:30:00,TH,12:20:00,"Mills, Patricia",7334829663.0,JKP104,,3.0,3.0,C,48,54,,,,,,,14217,431,20153,Tax Research and Professional Responsibilities
58,ACCT-551T,ACCT,551T,ACCT,17:30:00,M,18:30:00,"Gergurich, James, Michael",8139336700.0,ONLINE,,3.0,3.0,C,25,38,,,,,,,14222,378,20153,Taxation of Partnerships and S-Corps
59,ACCT-551T,ACCT,551T,ACCT,14:00:00,TH,16:50:00,"Mills, Patricia",7334829663.0,JKP202,,3.0,3.0,C,33,35,,,,,,,14221,442,20153,Taxation of Partnerships and S-Corps
60,ACCT-551T,ACCT,551T,ACCT,09:30:00,TH,12:20:00,"Mills, Patricia",7334829663.0,JKP104,,3.0,3.0,C,35,35,,,,,,,14220,442,20153,Taxation of Partnerships and S-Corps
61,ACCT-557,ACCT,557,ACCT,12:30:00,TH,13:50:00,"Lennox, Clive",7385767656.0,JKP104,,3.0,3.0,C,27,28,,,,,,,14224,1,20153,Advanced Financial Statement Auditing Topics
62,ACCT-557,ACCT,557,ACCT,15:30:00,TH,16:50:00,"Lennox, Clive",7385767656.0,JKP102,,3.0,3.0,C,27,28,,,,,,,14223,1,20153,Advanced Financial Statement Auditing Topics
63,ACCT-559,ACCT,559,ACCT,08:00:00,TH,09:20:00,"Owens, John, D",3061027059.0,JKP110,,3.0,3.0,C,10,10,,,,,,,14227,1,20153,Strategy and Operations Through CFO Lens
64,ACCT-559,ACCT,559,ACCT,09:30:00,TH,10:50:00,"Owens, John, D",3061027059.0,JKP202,,3.0,3.0,C,10,10,,,,,,,14229,1,20153,Strategy and Operations Through CFO Lens
65,ACCT-559,ACCT,559,ACCT,09:30:00,TH,10:50:00,"Owens, John, D",3061027059.0,JKP202,,3.0,3.0,C,35,35,,,,,,,14228,33,20153,Strategy and Operations Through CFO Lens
66,ACCT-559,ACCT,559,ACCT,08:00:00,TH,09:20:00,"Owens, John, D",3061027059.0,JKP110,,3.0,3.0,C,35,35,,,,,,,14226,33,20153,Strategy and Operations Through CFO Lens
67,ACCT-560T,ACCT,560T,ACCT,18:30:00,W,21:30:00,"Barcal, Jack",6388728244.0,JKP202,,3.0,3.0,C,13,40,,,,,,,14232,1,20153,Tax Theory and Ethics
68,ACCT-560T,ACCT,560T,ACCT,14:00:00,MW,16:50:00,"Barcal, Jack",6388728244.0,JKP202,,3.0,3.0,C,48,50,,,,,,,14231,431,20153,Tax Theory and Ethics
69,ACCT-561T,ACCT,561T,ACCT,08:00:00,MW,09:20:00,"Keller, Joe",8443357348.0,JKP202,,3.0,3.0,C,20,21,,,,"Maxey, Shirley, Orechwa",8813328976.0,,14236,1,20153,Income Tax of Corporations and Their Shareholders
70,ACCT-561T,ACCT,561T,ACCT,14:00:00,MW,16:50:00,"Keller, Joe",8443357348.0,JKP202,,3.0,3.0,C,49,50,,,,,,,14237,442,20153,Income Tax of Corporations and Their Shareholders
71,ACCT-568T,ACCT,568T,ACCT,17:30:00,M,18:30:00,"Werner, Maryanne, Sabido",2477077622.0,ONLINE,,3.0,3.0,C,15,16,,,,,,,14248,378,20153,Taxation of Foreign Business Operations
72,ACCT-568T,ACCT,568T,ACCT,08:00:00,TH,09:20:00,"Wang, Shiing-Wu",7876020314.0,JKP202,,3.0,3.0,C,20,21,,,,"Maxey, Shirley, Orechwa",8813328976.0,,14246,1,20153,Taxation of Foreign Business Operations
73,ACCT-568T,ACCT,568T,ACCT,18:30:00,T,21:30:00,"Werner, Maryanne, Sabido",2477077622.0,BRI202,,3.0,3.0,C,22,40,,,,,,,14247,1,20153,Taxation of Foreign Business Operations
74,ACCT-572,ACCT,572,ACCT,18:30:00,M,21:30:00,"Karayan, John, E",5864709882.0,JKP202,,3.0,3.0,C,33,54,,,,,,,14256,33,20153,Corporate Accounting and Reporting
75,ACCT-573T,ACCT,573T,ACCT,18:30:00,M,21:30:00,"Toscher, Steven, Richard",3215358043.0,BRI202,,3.0,3.0,C,15,35,,,,,,,14264,1,20153,Federal Tax Procedure
76,ACCT-574,ACCT,574,ACCT,12:30:00,MW,13:50:00,"Erbstoesser, Eugene",3116933884.0,JKP102,,3.0,3.0,C,34,50,,,,,,,14260,1,20153,Accounting in the Global Business Environment
77,ACCT-580T,ACCT,580T,ACCT,18:00:00,W,19:00:00,"Scharlach, Robert, A",8572942541.0,ONLINE,,3.0,3.0,C,29,38,,,,,,,14273,378,20153,Tax Accounting Methods
78,ACCT-581,ACCT,581,ACCT,18:30:00,T,21:30:00,"Louk, Robert, J",7768955141.0,JKP202,,3.0,3.0,C,5,9,,,,,,,14279,1,20153,Financial Statement Analysis
79,ACCT-581,ACCT,581,ACCT,18:30:00,T,21:30:00,"Louk, Robert, J",7768955141.0,JKP202,,3.0,3.0,C,39,45,,,,,,,14269,33,20153,Financial Statement Analysis
80,ACCT-581,ACCT,581,ACCT,11:00:00,TH,12:20:00,"Owens, John, D",3061027059.0,JKP202,,3.0,3.0,C,50,50,,,,,,,14278,1,20153,Financial Statement Analysis
81,ACCT-583,ACCT,583,ACCT,18:30:00,H,21:30:00,"Werner, Maryanne, Sabido",2477077622.0,JKP204,,3.0,3.0,C,10,40,,,,,,,14290,1,20153,Income Tax Accounting and Auditing
82,ACCT-585,ACCT,585,ACCT,11:00:00,MW,12:20:00,"Smith, Lori, L",6969639145.0,JKP202,,3.0,3.0,C,25,36,,,,,,,14294,1,20153,Professional Responsibilities in Accounting
83,ACCT-585,ACCT,585,ACCT,09:30:00,MW,10:50:00,"Smith, Lori, L",6969639145.0,JKP202,,3.0,3.0,C,36,38,,,,,,,14293,1,20153,Professional Responsibilities in Accounting
84,ACCT-585,ACCT,585,ACCT,12:30:00,MW,13:50:00,"Smith, Lori, L",6969639145.0,JKP202,,3.0,3.0,C,37,36,,,,,,,14295,1,20153,Professional Responsibilities in Accounting
85,ACCT-605,ACCT,605,ACCT,09:00:00,W,11:50:00,"Ogneva, Maria",6174146041.0,HOH506,,3.0,3.0,C,7,10,,,,,,,14315,36,20153,Survey of Financial Reporting Research
86,ACCT-611,ACCT,611,ACCT,09:30:00,F,10:50:00,"Soliman, Mark",7516543468.0,HOH506,,1.5,1.5,C,10,12,,,,,,,14321,36,20153,Selected Topics in Accounting Research
87,ACCT-621,ACCT,621,ACCT,12:30:00,F,13:50:00,"Soliman, Mark",7516543468.0,HOH506,,1.0,1.0,C,10,12,,,,,,,14301,36,20153,Research Forum
88,BAEP-423,BAEP,423,BAEP,11:00:00,F,14:20:00,"Autry, Greg",1164830547.0,ACC201,,4.0,4.0,C,38,42,,,,,,,14374,1,20153,Management of Small Businesses
89,BAEP-423,BAEP,423,BAEP,12:00:00,MW,13:50:00,"Szymanski, Marianne",5520470863.0,HOH2,,4.0,4.0,C,56,60,,,,,,,14373,1,20153,Management of Small Businesses
90,BAEP-450,BAEP,450,BAEP,16:00:00,MW,17:50:00,"Harrer, Christopher",6987502031.0,VPD116,,4.0,4.0,C,50,57,,,,,,,14375,1,20153,Fundamentals of Entrepreneurship
91,BAEP-451,BAEP,451,BAEP,10:00:00,F,13:20:00,"Henry, Patrick, R",6955781366.0,HOH2,,4.0,4.0,C,38,49,,,,,,,14383,1,20153,The Management of New Enterprises
92,BAEP-451,BAEP,451,BAEP,08:00:00,TH,09:50:00,"Henry, Patrick, R",6955781366.0,HOH2,,4.0,4.0,C,46,52,,,,,,,14377,1,20153,The Management of New Enterprises
93,BAEP-451,BAEP,451,BAEP,14:00:00,TH,15:50:00,"Henry, Patrick, R",6955781366.0,HOH1,,4.0,4.0,C,59,61,,,,,,,14378,1,20153,The Management of New Enterprises
94,BAEP-451,BAEP,451,BAEP,16:00:00,TH,17:50:00,"Knapp, Thomas, Wilson",2691677430.0,HOH1,,4.0,4.0,C,64,64,,,,,,,14379,1,20153,The Management of New Enterprises
95,BAEP-452,BAEP,452,BAEP,14:00:00,MW,15:50:00,"Orlando, Paul",8703536752.0,BRI5,,4.0,4.0,C,31,31,,,,,,,14380,1,20153,Feasibility Analysis
96,BAEP-452,BAEP,452,BAEP,10:00:00,MW,11:50:00,"Yamano, Scott",1294013528.0,BRI5,,4.0,4.0,C,36,42,,,,,,,14381,1,20153,Feasibility Analysis
97,BAEP-453,BAEP,453,BAEP,18:00:00,T,21:20:00,"Napoliello, Michael, Edwin",9243023816.0,LVL13,,4.0,4.0,C,26,36,,,,,,,14382,1,20153,Venture Management
98,BAEP-460,BAEP,460,BAEP,16:00:00,T,19:50:00,"Orfalea, Paul",,OFFICE,,2.0,2.0,C,14,15,,,,,,,14387,442,20153,Seminar in Entrepreneurship
99,BAEP-460,BAEP,460,BAEP,16:00:00,T,19:50:00,"Orfalea, Paul",,OFFICE,,2.0,2.0,C,18,18,,,,,,,14386,431,20153,Seminar in Entrepreneurship
100,BAEP-460,BAEP,460,BAEP,18:00:00,H,21:10:00,"Seegull, Fran",2354870787.0,BRI5,,2.0,2.0,C,17,30,,,,,,,14385,431,20153,Seminar in Entrepreneurship
101,BAEP-460,BAEP,460,BAEP,16:00:00,W,17:50:00,"Napoliello, Michael, Edwin",9243023816.0,ACC310,,2.0,2.0,C,29,30,,,,,,,14392,1,20153,Seminar in Entrepreneurship
102,BAEP-460,BAEP,460,BAEP,16:00:00,M,17:50:00,"Nikkhoo, Ivan, K",4781393543.0,ACC310,,2.0,2.0,C,29,30,,,,,,,14398,1,20153,Seminar in Entrepreneurship
103,BAEP-465,BAEP,465,BAEP,14:00:00,W,15:50:00,"Borquez, Anthony",8833424164.0,HOH305,,2.0,2.0,C,36,39,,,,,,,14389,1,20153,Digital Playbook for Entrepreneurs: Creating a Tech Startup
104,BAEP-480,BAEP,480,BAEP,16:00:00,TH,17:50:00,"Napoli, Albert, D",2115219010.0,HOH304,,4.0,4.0,C,36,41,,,,,,,14384,1,20153,Entrepreneurial Family Business
105,BAEP-549,BAEP,549,BAEP,08:00:00,FSU,18:00:00,"Knapp, Thomas, Wilson",2691677430.0,BRI5,,2.0,2.0,C,20,35,,,,,,,14402,284,20153,The Entrepreneurial Journey
106,BAEP-550,BAEP,550,BAEP,18:30:00,M,21:30:00,"Mednick, Steven, Brian",2020359532.0,JKP102,,1.5,1.5,C,9,40,,,,,,,14408,415,20153,Entrepreneurship and Venture Management
107,BAEP-551,BAEP,551,BAEP,,,,"Knapp, Thomas, Wilson",2691677430.0,OFFICE,,3.0,3.0,C,52,53,,,,,,,14407,406,20153,Introduction to New Ventures
108,BAEP-552,BAEP,552,BAEP,18:30:00,H,21:30:00,"Napoli, Albert, D",2115219010.0,ACC236,,3.0,3.0,C,17,39,,,,,,,14414,33,20153,Cases in Feasibility Analysis
109,BAEP-552,BAEP,552,BAEP,18:30:00,W,21:30:00,"Mednick, Steven, Brian",2020359532.0,JKP212,,3.0,3.0,C,44,50,,,,,,,14415,33,20153,Cases in Feasibility Analysis
110,BAEP-553,BAEP,553,BAEP,18:30:00,M,21:30:00,"Mednick, Steven, Brian",2020359532.0,JKP102,,1.5,1.5,C,21,52,,,,,,,14412,411,20153,Cases in New Venture Management
111,BAEP-556,BAEP,556,BAEP,18:30:00,T,21:30:00,"Allen, Kathleen",6455388767.0,JKP104,,3.0,3.0,C,31,37,,,,,,,14418,33,20153,Technology Feasibility
112,BAEP-558,BAEP,558,BAEP,18:30:00,W,21:30:00,"Allen, Kathleen",6455388767.0,BRI5,,3.0,3.0,C,17,24,,,,,,,14425,33,20153,The Entrepreneurial Advisor: Problem Solving forEarly-Stage Companies
113,BAEP-559,BAEP,559,BAEP,18:30:00,M,21:30:00,"Nikkhoo, Ivan, K",4781393543.0,HOH1,,3.0,3.0,C,62,63,,,,,,,14420,33,20153,Investing in New Ventures
114,BAEP-563,BAEP,563,BAEP,17:00:00,MW,18:20:00,"Dann, Jeremy, Brooks",7807126242.0,JKP212,,3.0,3.0,C,40,50,,,,,,,14419,33,20153,Corporate Entrepreneurship
115,BAEP-566,BAEP,566,BAEP,09:00:00,S,12:00:00,"Autry, Greg",1164830547.0,JKP210,,3.0,3.0,C,63,70,,,,,,,14426,33,20153,Cases in Feasibility Analysis for Social Ventures
116,BAEP-590,BAEP,590,BAEP,,,,"Knapp, Thomas, Wilson",2691677430.0,OFFICE,,3.0,1.0,C,2,10,,,,,,,14409,33,20153,Directed Research
117,BAEP-591,BAEP,591,BAEP,08:00:00,FS,17:00:00,"Wertman, Adlai",7928436182.0,HOH1,,2.0,2.0,C,47,50,,,,,,,14400,284,20153,Social Entrepreneurship
118,BAEP-593,BAEP,593,BAEP,,,,"Allen, Kathleen",6455388767.0,OFFICE,,4.0,0.5,C,3,10,,,,,,,14449,33,20153,Independent Research in Business Entrepreneurship
119,BUAD-101,BUAD,101,UG Programs,10:00:00,F,11:50:00,"Ellis, Jim",4418412979.0,HOH EDI,,2.0,2.0,C,94,120,,,,"Voigt, Carl, W",8225711264.0,,14472,1,20153,Freshman Leadership Seminar
120,BUAD-105,BUAD,105,UG Programs,14:00:00,M,15:50:00,"Kiddoo, Bob",7682197116.0,HOH418,,2.0,2.0,C,12,24,,,,,,,14498,1,20153,The Business Experience
121,BUAD-105,BUAD,105,UG Programs,14:00:00,W,15:50:00,"Kiddoo, Bob",7682197116.0,HOH418,,2.0,2.0,C,12,24,,,,,,,14499,1,20153,The Business Experience
122,BUAD-200,BUAD,200,FBE,12:00:00,F,13:50:00,"Durguner, Sena",8771588524.0,HOH422,,2.0,2.0,C,20,40,,,,,,,14487,1,20153,Economic Foundations for Business
123,BUAD-200,BUAD,200,FBE,10:00:00,F,11:50:00,"Durguner, Sena",8771588524.0,HOH422,,2.0,2.0,C,27,40,,,,,,,14485,1,20153,Economic Foundations for Business
124,BUAD-201,BUAD,201,BAEP,18:00:00,TH,19:50:00,"Amini, P  Elizabeth",8308107995.0,MHP B7B,,4.0,4.0,C,38,48,,,,,,,14490,1,20153,Introduction to Business for Non-Majors
125,BUAD-201,BUAD,201,BAEP,18:00:00,T,21:50:00,"Napoli, Albert, D",2115219010.0,ZHS163,,4.0,4.0,C,43,46,,,,,,,14492,1,20153,Introduction to Business for Non-Majors
126,BUAD-215,BUAD,215,FBE,08:00:00,MW,09:50:00,"Bemis, Nimfa, Abarquez",4984860540.0,HOH303,,4.0,4.0,C,45,45,,,,,,,14495,1,20153,Foundations of Business Finance
127,BUAD-215,BUAD,215,FBE,08:00:00,TH,09:50:00,"Bemis, Nimfa, Abarquez",4984860540.0,HOH EDI,,4.0,4.0,C,63,75,,,,,,,14497,1,20153,Foundations of Business Finance
128,BUAD-252,BUAD,252,BAEP,18:00:00,T,19:50:00,"Snyder, Kirk, Dylan",5556211303.0,GFS118,,2.0,2.0,C,46,48,,,,,,,14589,1,20153,Choosing and Planning a Future Career in Business
129,BUAD-285A,BUAD,285A,ACCT,08:00:00,MW,09:50:00,"Allen, Eric",8316507406.0,HOH421,,4.0,4.0,C,36,44,,,,,,,14514,1,20153,"Accounting Fundamentals, Financial and Managerial Accounting"
130,BUAD-285A,BUAD,285A,ACCT,16:00:00,MW,17:50:00,"Davila, Ruben, Allen",6706088465.0,HOH422,,4.0,4.0,C,37,39,,,,,,,14511,1,20153,"Accounting Fundamentals, Financial and Managerial Accounting"
131,BUAD-285A,BUAD,285A,ACCT,08:00:00,MW,09:50:00,"Davila, Ruben, Allen",6706088465.0,HOH305,,4.0,4.0,C,37,39,,,,,,,14510,1,20153,"Accounting Fundamentals, Financial and Managerial Accounting"
132,BUAD-285A,BUAD,285A,ACCT,18:00:00,TH,19:50:00,"Randhawa, Smrity, P",3704619007.0,HOH301,,4.0,4.0,C,38,38,,,,,,,14519,1,20153,"Accounting Fundamentals, Financial and Managerial Accounting"
